in FB,Date,Venue,City,State,Show,,,,,,,,,,,,,,,,,,
FALSE,"Thursday, October 9, 2003",Double Door,Chicago,Illinois,Eve 6,,,,,,,,,,,,,,,,,,
FALSE,"Friday, February 13, 2004",Fine Line Music Café,Minneapolis,Minnesota,Roger Clyne & the Peacemakers,Scott Laurent,,,,,,,,,,,,,,,,,
TRUE,"Sunday, July 4, 2004",Grant Park,Chicago,Illinois,Taste of Chicago,Counting Crows,,,,,,,,,,,,,,,,,
FALSE,"Friday, July 16, 2004",House of Blues,Chicago,Illinois,Counting Crows,Graham Colton Band,Jem,,,,,,,,,,,,,,,,
FALSE,"Sunday, July 18, 2004",Tweeter Center,Chicago,Illinois,Sting,Annie Lennox,Dominick Miller,,,,,,,,,,,,,,,,
FALSE,"Saturday, August 7, 2004",Abbey Pub,Chicago,Illinois,Butch Walker,American Hi-Fi,Val Emmich,,,,,,,,,,,,,,,,
FALSE,"Monday, November 8, 2004",UIC Pavilion,Chicago,Illinois,Green Day,New Found Glory,Sugarcult,,,,,,,,,,,,,,,,
FALSE,"Tuesday, November 16, 2004",House of Blues,Chicago,Illinois,Everclear,,,,,,,,,,,,,,,,,,
FALSE,"Thursday, May 3, 2005",WTTW Grainger Studio,Chicago,Illinois,Soundstage,The Wallflowers,,,,,,,,,,,,,,,,,
FALSE,"Sunday, October 2, 2005",Vic,Chicago,Illinois,Our Lady Peace,,,,,,,,,,,,,,,,,,
FALSE,"Monday, November 14, 2005",Metro,Chicago,Illinois,Butch Walker,,,,,,,,,,,,,,,,,,
TRUE,"Thursday, February 16, 2006",Rave/Eagle's Ballroom,Milwaukee,Wisconsin,Motion City Soundtrack,OK Go,The Spill Canvas,Plain White T's,,,,,,,,,,,,,,,
TRUE,"Saturday, March 25, 2006",House of Blues,Chicago,Illinois,The Academy is…,Panic! at the Disco,Acceptance,hellogoodbye,,,,,,,,,,,,,,,
TRUE,"Saturday, April 1, 2006",Riviera,Chicago,Illinois,Motion City Soundtrack,The Format,The Matches,"Men, Women & Children",,,,,,,,,,,,,,,
FALSE,"Tuesday, May 16, 2006",Vic,Chicago,Illinois,Live,,,,,,,,,,,,,,,,,,
FALSE,"Friday, June 23, 2006",Lincoln Park Zoo,Chicago,Illinois,Gin Blossoms,Kyle Ortt,,,,,,,,,,,,,,,,,
FALSE,"Friday, July 28, 2006",Lincoln Park Zoo,Chicago,Illinois,Collective Soul,Treaty of Paris,,,,,,,,,,,,,,,,,
FALSE,"Sunday, July 30, 2006",First Midwest Bank Amphitheatre,Tinley Park,Illinois,Warped Tour '06,NOFX,Against Me,Junior Varsity,The Early November,Zebrahead,Adair,The Academy is…,Less Than Jake,Motion City Soundtrack,The Living End,Senses Fail,hellogoodbye,Saves the Day,Gym Class Heroes,,,,
,"Wednesday, August 2, 2006",Metro,Chicago,Illinois,Butch Walker & the Lets Go Out Tonites,,,,,,,,,,,,,,,,,,
FALSE,"Friday, August 18, 2006",First Midwest Bank Amphitheatre,Tinley Park,Illinois,Counting Crows,Goo Goo Dolls,Eliot Morris,Last Conservative,,,,,,,,,,,,,,,
FALSE,"Thursday, August 24, 2006",House of Blues,Chicago,Illinois,Third Eye Blind,Bandcamp,,,,,,,,,,,,,,,,,
FALSE,"Friday, August 25, 2006",Tweeter Center at the Waterfront,Camden,New Jersey,Counting Crows,Goo Goo Dolls,,,,,,,,,,,,,,,,,
TRUE,"Saturday, August 26, 2006",Nissan Pavillion,Bristow,Virginia,Counting Crows,Goo Goo Dolls,,,,,,,,,,,,,,,,,
FALSE,"Sunday, August 27, 2006",House of Blues,Chicago,Illinois,Third Eye Blind,Bandcamp,,,,,,,,,,,,,,,,,
FALSE,"Sunday, September 3, 2006",Rotary Hill,Naperville,Illinois,Collective Soul,Josh Kelley,,,,,,,,,,,,,,,,,
FALSE,"Friday, September 15, 2006",Charter One Pavilion at Northerly Island,Chicago,Illinois,Tom Petty,The Strokes,,,,,,,,,,,,,,,,,
FALSE,"Friday, September 29, 2006",First Midwest Bank Amphitheatre,Tinley Park,Illinois,Roger Waters,,,,,,,,,,,,,,,,,,
FALSE,"Saturday, December 16, 2006",House of Blues,Chicago,Illinois,Better Than Ezra,Graham Colton,,,,,,,,,,,,,,,,,
TRUE,"Thursday, January 25, 2007",Metro,Chicago,Illinois,Augustana,Vega 4,,,,,,,,,,,,,,,,,
FALSE,"Tuesday, March 6, 2007",House of Blues,Chicago,Illinois,Jack's Mannequin,The Audition,,,,,,,,,,,,,,,,,
TRUE,"Monday, April 2, 2007",Aragon Ballroom,Chicago,Illinois,Snow Patrol,OK Go,,,,,,,,,,,,,,,,,
TRUE,"Thursday, April 5, 2007",Rave/Eagle's Ballroom,Milwaukee,Wisconsin,Snow Patrol,OK Go,,,,,,,,,,,,,,,,,
FALSE,"Tuesday, April 10, 2007",House of Blues,Chicago,Illinois,Butch Walker,,,,,,,,,,,,,,,,,,
TRUE,"Sunday, April 15, 2007",Bradley Field House,Peoria,Illinois,Motion City Soundtrack,Treaty of Paris,,,,,,,,,,,,,,,,,
FALSE,"Tuesday, April 17, 2007",Loyola Gentile Center,Chicago,Illinois,Motion City Soundtrack,,,,,,,,,,,,,,,,,,
TRUE,"Friday, May 4, 2007",Joe's,Chicago,Illinois,Roger Clyne & the Peacemakers,,,,,,,,,,,,,,,,,,
FALSE,"Thursday, June 14, 2007",Charter One Pavilion at Northerly Island,Chicago,Illinois,The Fray,OK Go,,,,,,,,,,,,,,,,,
FALSE,"Thursday, July 5, 2007",Wrigley Field,Chicago,Illinois,The Police,Fiction Plane,,,,,,,,,,,,,,,,,
FALSE,"Tuesday, July 24, 2007",Classic Park,Eastlake,Ohio,Counting Crows,Live,,,,,,,,,,,,,,,,,
FALSE,"Saturday, July 28, 2007",Toyota Park,Bridgeview,Illinois,Crossroads Guitar Festival,Buddy Guy,Eric Clapton,Steve Winwood,Buddy Robinson,Jeff Beck,Los Lobos,Vince Gill,Sheryl Crow,Willie Nelson,John Mayer,Robert Cray,Hubert Someone,BB King,Robert Randolph & the Family Band,Derek Trucks Band,Johnnie Winter,Doyle Bramhall II,Alison Krausse & Union Station
FALSE,"Friday, August 3, 2007",Louisville Slugger Field,Louisville,Kentucky,Counting Crows,Live,Collective Soul,,,,,,,,,,,,,,,,
FALSE,"Saturday, August 4, 2007",Victory Field,Indianapolis,Indiana,Counting Crows,Live,Collective Soul,,,,,,,,,,,,,,,,
FALSE,"Friday, August 10, 2007",Harrah's Hidden Cove,Council Bluff,Iowa,Third Eye Blind,Thunderkatz,,,,,,,,,,,,,,,,,
FALSE,"Saturday, August 11, 2007",Principal Park,Des Moines,Iowa,Counting Crows,Third Eye Blind,Collective Soul,,,,,,,,,,,,,,,,
FALSE,"Friday, October 12, 2007",Riviera,Chicago,Illinois,Spoon,,,,,,,,,,,,,,,,,,
FALSE,"Wednesday, October 24, 2007",Congress Theatre,Chicago,Illinois,Say Anything,Hellogoodbye,,,,,,,,,,,,,,,,,
FALSE,"Wednesday, November 7, 2007",Park West,Chicago,Illinois,The Wallflowers,,,,,,,,,,,,,,,,,,
FALSE,"Thursday, November 15, 2007",Riviera,Chicago,Illinois,Jimmy Eat World,Viva Volce,,,,,,,,,,,,,,,,,
FALSE,"Sunday, November 18, 2007",Park West,Chicago,Illinois,Vanessa Carlton,Graham Colton,,,,,,,,,,,,,,,,,
FALSE,"Friday, December 28, 2007",House of Blues,Chicago,Illinois,Sister Hazel,The Alternate Routes,,,,,,,,,,,,,,,,,
TRUE,"Friday, February 1, 2008",Ram's Head Live,Baltimore,Maryland,Adam Duritz with Dave Gibbs,The Flood,,,,,,,,,,,,,,,,,
FALSE,"Friday, February 8, 2008",Double Door,Chicago,Illinois,Will Hoge,Jason Isbell and the 400 Unit,someone with a girl,,,,,,,,,,,,,,,,
FALSE,"Friday, April 4, 2008",Vic,Chicago,Illinois,Spoon,The Walkmen,White Rabbits,,,,,,,,,,,,,,,,
TRUE,"Sunday, April 6, 2008",Metro,Chicago,Illinois,Vampire Weekend,Yacht,,,,,,,,,,,,,,,,,
FALSE,"Tuesday, April 8, 2008",WTTW Grainger Studio,Chicago,Illinois,Soundstage,Counting Crows,Matt White,,,,,,,,,,,,,,,,
TRUE,"Wednesday, April 9, 2008",Loyola Gentile Center,Chicago,Illinois,Third Eye Blind,,,,,,,,,,,,,,,,,,
FALSE,"Thursday, April 10, 2008",Riviera,Chicago,Illinois,Counting Crows,Wild Sweet Orange,,,,,,,,,,,,,,,,,
FALSE,"Saturday, April 12, 2008",(Carthage College),Kenosha,Wisconsin,Counting Crows,Wild Sweet Orange,,,,,,,,,,,,,,,,,
FALSE,"Friday, April 18, 2008",Kathy's House (neighborhood),Chicago,Illinois,Eliot Morris,,,,,,,,,,,,,,,,,,
FALSE,"Saturday, April 19, 2008",Allstate Arena,Rosemont,Illinois,Santana,Derek Trucks Band,,,,,,,,,,,,,,,,,
TRUE,"Wednesday, April 23, 2008",Reggie's,Chicago,Illinois,As Tall As Lions,1997,Empires,The Felix Culpa,,,,,,,,,,,,,,,
FALSE,"Tuesday, May 13, 2008",Metro,Chicago,Illinois,Augustana,Wild Sweet Orange,David Ford,,,,,,,,,,,,,,,,
FALSE,"Friday, May 16, 2008",Double Door,Chicago,Illinois,Sponge,One Night Love Child,Team Rockit,Textbook,,,,,,,,,,,,,,,
TRUE,"Thursday, May 22, 2008",Charter One Pavilion at Northerly Island,Chicago,Illinois,Stone Temple Pilots,marching band,,,,,,,,,,,,,,,,,
TRUE,"Friday, May 23, 2008",Congress Theatre,Chicago,Illinois,Honda Civic Tour,Panic at the Disco,Motion City Soundtrack,The Hush Sound,Phantom Planet,,,,,,,,,,,,,,
FALSE,"Tuesday, June 3, 2008",Jay Pritzker Pavilion at Millenium Park,Chicago,Illinois,Death Cab for Cutie,Rogue Wave,,,,,,,,,,,,,,,,,
TRUE,"Tuesday, July 22, 2008",United Center,Chicago,Illinois,Coldplay,Santigold,,,,,,,,,,,,,,,,,
TRUE,"Friday, August 8, 2008",Southside Works,Pittsburgh,Pennsylvania,New American Music Union,The Roots,The Black Keys,Nasa,Tiny Masters of Today,,,,,,,,,,,,,,
TRUE,"Saturday, August 9, 2008",Southside Works,Pittsburgh,Pennsylvania,New American Music Union,Bob Dylan and His Band,The Raconteurs,Spoon,Gnarls Barkley,Black Mountain,The Flying Machines,The Steps,The Duke Spirit,My Dear Disco,Royal Bangs,The Depreciation Guild,The Delicious,Magic Bullets,Nothing Unexpected,The Black Fortys,,,
FALSE,"Thursday, August 21, 2008",Auditorium Theatre,Chicago,Illinois,Eddie Vedder,Liam Finn,,,,,,,,,,,,,,,,,
FALSE,"Friday, August 22, 2008",First Midwest Bank Amphitheatre,Tinley Park,Illinois,Counting Crows,Maroon 5,Sarah Baraleis,,,,,,,,,,,,,,,,
FALSE,"Sunday, October 5, 2008",Schubas,Chicago,Illinois,Wild Sweet Orange,,,,,,,,,,,,,,,,,,
FALSE,"Wednesday, October 8, 2008",Chicago Theatre,Chicago,Illinois,Joe Satriani,Mountain,,,,,,,,,,,,,,,,,
FALSE,"Friday, October 10, 2008",Riviera,Chicago,Illinois,Death Cab for Cutie,So Many Dynamos,,,,,,,,,,,,,,,,,
FALSE,"Saturday, October 11, 2008",Resch Center,Green Bay,Wisconsin,OKOBOS Music Festival,Death Cab for Cutie,M Ward,Ingrid Michaelson,Ben Folds,Jewel,The Boys Choir of Kenya,,,,,,,,,,,,
FALSE,"Saturday, November 1, 2008",Beat Kitchen,Chicago,Illinois,Cavashawn,The Insecurities,,,,,,,,,,,,,,,,,
FALSE,"Friday, December 12, 2008",Allstate Arena,Rosemont,Illinois,Oasis,Ryan Adams and the Cardinals,,,,,,,,,,,,,,,,,
TRUE,"Thursday, January 15, 2009",House of Blues,Chicago,Illinois,The Hold Steady,Tom Morrello,,,,,,,,,,,,,,,,,
TRUE,"Saturday, February 28, 2009",Metro,Chicago,Illinois,Jimmy Eat World,Reuben's Accomplice,,,,,,,,,,,,,,,,,
TRUE,"Tuesday, March 10, 2009",House of Blues,Chicago,Illinois,Butch Walker,The Films,,,,,,,,,,,,,,,,,
FALSE,"Friday, April 17, 2009",Aragon Ballroom,Chicago,Illinois,Death Cab for Cutie,Cold War Kids,,,,,,,,,,,,,,,,,
FALSE,"Monday, April 20, 2009",Metro,Chicago,Illinois,Alkaline Trio,Saves the Day,,,,,,,,,,,,,,,,,
TRUE,"Friday, May 29, 2009",Riviera,Chicago,Illinois,Third Eye Blind,Low vs Diamond,,,,,,,,,,,,,,,,,
TRUE,"Saturday, June 20, 2009",Orpheum Theatre,Memphis,Tennessee,Eddie Vedder,Liam Finn,,,,,,,,,,,,,,,,,
TRUE,"Tuesday, June 23, 2009",Schubas,Chicago,Illinois,Eddie Koalyczyk,,,,,,,,,,,,,,,,,,
TRUE,"Sunday, June 28, 2009",First Midwest Bank Amphitheatre,Tinley Park,Illinois,The Fray,Jack's Mannequin,Richard Swift,,,,,,,,,,,,,,,,
FALSE,"Tuesday, July 7, 2009",The Intersection,Grand Rapids,Michigan,Augustana,,,,,,,,,,,,,,,,,,
FALSE,"Wednesday, July 8, 2009",Meadow Brook Music Festival,Rochester Hills,Michigan,Counting Crows with Augustana,Augustana,,,,,,,,,,,,,,,,,
FALSE,"Friday, July 10, 2009",Madison Street & Des Plaines Street,Chicago,Illinois,World's Biggest Block Party,Gavin Degraw,Collective Soul,,,,,,,,,,,,,,,,
FALSE,"Sunday, July 19, 2009",Bottom Lounge,Chicago,Illinois,Frightened Rabbit,Headlights,,,,,,,,,,,,,,,,,
TRUE,"Wednesday, July 29, 2009",Red Rocks Amphitheatre,Morrison,Colorado,The Traveling Circus & Medicine Show,Counting Crows with Augustana,,,,,,,,,,,,,,,,,
FALSE,"Saturday, August 1, 2009",Double Door,Chicago,Illinois,City Riots,Luster,,,,,,,,,,,,,,,,,
FALSE,"Friday, August 7, 2009",Grant Park,Chicago,Illinois,Lollapalooza '09,Kings of Leon,of Montreal,Thievery Corporation,Asher Roth,Fleet Foxes,Ben Folds,Bon Iver,The Gaslight Anthem,Manchester Orchestra,Hockey,,,,,,,,
FALSE,"Saturday, August 8, 2009",Grant Park,Chicago,Illinois,Lollapalooza '09,Yeah Yeah Yeahs,Ben Harper and the Relentless7,TV on the Radio,Santigold,Blind Pilot,Gomez,Atmosphere,Quinn Sullivan,Delta Spirit,Ezra Furman and the Harpoons,,,,,,,,
FALSE,"Sunday, August 9, 2009",Grant Park,Chicago,Illinois,Lollapalooza '09,The Killers,Silversun Pickups,Snoop Dogg,Cold War Kids,Vampire Weekend,Dan Deacon,The Airborne Toxic Event,Cage the Elephant,Ra Ra Riot,Alberta Cross,,,,,,,,
FALSE,"Tuesday, August 11, 2009",Ryman Auditorium,Nashville,Tennessee,The Traveling Circus & Medicine Show,Counting Crows with Augustana and Michael Franti & Spearhead,,,,,,,,,,,,,,,,,
FALSE,"Wednesday, August 12, 2009",Chastain Park Amphitheatre,Atlanta,Georgia,The Traveling Circus & Medicine Show,Counting Crows with Augustana and Michael Franti & Spearhead,,,,,,,,,,,,,,,,,
TRUE,"Wednesday, August 19, 2009",Schubas,Chicago,Illinois,Green River Ordinance,The Insecurities,,,,,,,,,,,,,,,,,
FALSE,"Saturday, August 22, 2009",The Vic,Chicago,Illinois,Our Lady Peace,Meese,,,,,,,,,,,,,,,,,
FALSE,"Sunday, August 23, 2009",United Center,Chicago,Illinois,Pearl Jam,Bad Religion,,,,,,,,,,,,,,,,,
FALSE,"Wednesday, September 17, 2009",Schubas,Chicago,Illinois,Ra Ra Riot,Princeton,,,,,,,,,,,,,,,,,
TRUE,"Wednesday, October 7, 2009",Lakeshore Theatre,Chicago,Illinois,Andrew McMahon,,,,,,,,,,,,,,,,,,
FALSE,"Thursday, October 8, 2009",Elbo Room,Chicago,Illinois,Karl Rorvik and the Crafty Bastards,Mad Watch,Nadafinga,,,,,,,,,,,,,,,,
FALSE,"Monday, October 26, 2009",Lincoln Hall,Chicago,Illinois,Ben Gibbard & Jay Farrar,,,,,,,,,,,,,,,,,,
FALSE,"Wednesday, October 28, 2009",Double Door,Chicago,Illinois,The Gaslight Anthem,Murder by Death,The Loved Ones,,,,,,,,,,,,,,,,
FALSE,"Friday, October 30, 2009",Empty Bottle,Chicago,Illinois,Thao & the Get Down Stay Down,Portland Cello Project,David Schultz & the Skyline,,,,,,,,,,,,,,,,
FALSE,"Friday, November 20, 2009",Schubas,Chicago,Illinois,Graham Colton,Dick Prall,,,,,,,,,,,,,,,,,
FALSE,"Wednesday, November 25, 2009",Lincoln Hall,Chicago,Illinois,Blind Pilot,Laura Veirs & the Hall of Flames,Mimicking Birds,,,,,,,,,,,,,,,,
FALSE,"Tuesday, December 1, 2009",Aragon Ballroom,Chicago,Illinois,Weezer,Motion City Soundtrack,Jack’s Mannequin,,,,,,,,,,,,,,,,
FALSE,"Saturday, December 12, 2009",House of Blues,Chicago,Illinois,Better Than Ezra,Vedera,,,,,,,,,,,,,,,,,
FALSE,"Thursday, December 17, 2009",Cubby Bear,Chicago,Illinois,Our Lady Peace,Model Stranger,,,,,,,,,,,,,,,,,
FALSE,"Friday, December 18, 2009",Lincoln Hall,Chicago,Illinois,Motion City Soundtrack - I Am the Movie,Ultimate Fakebook,,,,,,,,,,,,,,,,,
FALSE,"Saturday, December 19, 2009",Lincoln Hall,Chicago,Illinois,Motion City Soundtrack - Commit This to Memory,Ultimate Fakebook,,,,,,,,,,,,,,,,,
FALSE,"Sunday, December 20, 2009",Lincoln Hall,Chicago,Illinois,Motion City Soundtrack - Even If It Kills Me,Ultimate Fakebook,,,,,,,,,,,,,,,,,
TRUE,"Saturday, January 30, 2010",The Vic,Chicago,Illinois,Cold War Kids,Flashy Python,,,,,,,,,,,,,,,,,
TRUE,"Monday, February 22, 2010",House of Blues,Chicago,Illinois,Jack’s Mannequin,fun.,Vedera,,,,,,,,,,,,,,,,
TRUE,"Tuesday, February 23, 2010",House of Blues,Chicago,Illinois,Jack’s Mannequin,,,,,,,,,,,,,,,,,,
FALSE,"Tuesday, March 23, 2010",Metro,Chicago,Illinois,Manchester Orchestra,,,,,,,,,,,,,,,,,,
TRUE,"Thursday, April 1, 2010",Aragon Ballroom,Chicago,Illinois,Spoon,Deerhunter,,,,,,,,,,,,,,,,,
FALSE,"Wednesday, April 7, 2010",House of Blues,Chicago,Illinois,Motion City Soundtrack,fun.,,,,,,,,,,,,,,,,,
FALSE,"Monday, April 12, 2010",Lincoln Hall,Chicago,Illinois,The Morning Benders,Miniature Tigers,,,,,,,,,,,,,,,,,
TRUE,"Friday, April 16, 2010",Metro,Chicago,Illinois,Dr Dog,Sean Bones,,,,,,,,,,,,,,,,,
FALSE,"Saturday, April 17, 2010",Lincoln Hall,Chicago,Illinois,Rogue Wave,,,,,,,,,,,,,,,,,,
TRUE,"Saturday, April 24, 2010",Rubloff Auditorium,Chicago,Illinois,Natalie Merchant,,,,,,,,,,,,,,,,,,
FALSE,"Thursday, April 29, 2010",Waldron County Fairgrounds,Elkhorn,Wisconsin,Daytrotter Barnraiser III,Delta Spirit,Ra Ra Riot,Free Energy,Nathaniel Rateliff,Pearly Gate Music,,,,,,,,,,,,,
FALSE,"Thursday, May 6, 2010",Schubas,Chicago,Illinois,Everybody was in the French Resistance... Now!,Team Band,Chaperones,,,,,,,,,,,,,,,,
TRUE,"Saturday, May 8, 2010",Metro,Chicago,Illinois,Frightened Rabbit,Maps & Atlases,Our Brother the Native,,,,,,,,,,,,,,,,
TRUE,"Sunday, May 9, 2010",House of Blues,Chicago,Illinois,Butch Walker & the Black Widows,,,,,,,,,,,,,,,,,,
FALSE,"Saturday, June 5, 2010",Maier Festival Park Summerfest Grounds,Milwaukee,Wisconsin,Verge Fest,Rogue Wave,AFI,Jaill,Cold War Kids,Geri X,Manchester Orchestra,,,,,,,,,,,,
FALSE,"Sunday, June 13, 2010",Ravinia,Highland Park,Illinois,Sheryl Crow,Colby Callet,,,,,,,,,,,,,,,,,
FALSE,"Saturday, June 19, 2010",Metro,Chicago,Illinois,Delta Spirit,Ezra Furman & the Harpoons,The Romany Rye,,,,,,,,,,,,,,,,
FALSE,"Saturday, June 26, 2010",Toyota Park,Bridgeview,Illinois,Crossroads Guitar Festival,BB King,Eric Clapton with Steve Winwood,Jeff Beck,Derek Trucks with Susan Tedeschi,,,,,,,,,,,,,,
TRUE,"Monday, June 28, 2010",Lincoln Hall,Chicago,Illinois,Thao and Mirah,These United States,,,,,,,,,,,,,,,,,
FALSE,"Thursday, July 22, 2010",Chicago Theatre,Chicago,Illinois,Natalie Merchant,,,,,,,,,,,,,,,,,,
FALSE,"Friday, August 6, 2010",Grant Park,Chicago,Illinois,Lollapalooza ’10,The Strokes,Jimmy Cliff,The Black Keys,The Dirty Projectors,The New Pornographers,Drive-By Truckers,Jukebox the Ghost,The Walkmen,The Ettes,Wavves,Foxy Shazam,These United States,,,,,,
FALSE,"Saturday, August 7, 2010",Grant Park,Chicago,Illinois,Lollapalooza ’10,Phoenix,Green Day,Slightly Stoopid,Spoon,Metric,Deer Tick,Royal Bangs,Dawes,The XX,Against Me!,Blues Traveler,Rogue Wave,Rebelution,The Morning Benders,Mimicking Birds,,,
FALSE,"Sunday, August 8, 2010",Grant Park,Chicago,Illinois,Lollapalooza ’10,Arcade Fire,Soundgarden,Cypress Hill,The Temper Trap,MGMT,Frightened Rabbit,Perry Farrell,Hockey,Mumford & Sons,Blitzen Trapper,The Dodos,The Antlers,,,,,,
FALSE,"Friday, August 20, 2010",Charter One Pavilion at Northerly Island,Chicago,Illinois,Stone Temple Pilots,Cage the Elephant,Fang Island,,,,,,,,,,,,,,,,
FALSE,"Saturday, September 4, 2010",Union Park,Chicago,Illinois,North Coast Music Festival ’10,Umphree’s McGee,Moby,De La Soul,Jay Electronica,The New Deal,Grace Potter & the Nocturnals,Strange Arrangement,Van Ghost,New Mastersounds,,,,,,,,,
FALSE,"Sunday, September 12, 2010",Elbo Room,Chicago,Illinois,Nick Coury,Looking Daggers,,,,,,,,,,,,,,,,,
FALSE,"Thursday, September 23, 2010",Schubas,Chicago,Illinois,These United States,Juniper Tar,,,,,,,,,,,,,,,,,
FALSE,"Saturday, September 25, 2010",Cubby Bear,Chicago,Illinois,Spacehog,Holding Mercury,The Maybenauts,Luke Rathborne,,,,,,,,,,,,,,,
FALSE,"Sunday, September 26, 2010",The Hideout,Chicago,Illinois,Royal Bangs,,,,,,,,,,,,,,,,,,
FALSE,"Thursday, October 5, 2010",Riviera,Chicago,Illinois,Jimmy Eat World,,,,,,,,,,,,,,,,,,
FALSE,"Saturday, October 30, 2010",House of Blues,Chicago,Illinois,Motion City Soundtrack,Saves the Day,Valencia,,,,,,,,,,,,,,,,
FALSE,"Saturday, October 30, 2010",Lincoln Hall,Chicago,Illinois,The Morning Benders,,,,,,,,,,,,,,,,,,
FALSE,"Friday, November 26, 2010",Bottom Lounge,Chicago,Illinois,Matt Skiba,,,,,,,,,,,,,,,,,,
FALSE,"Saturday, December 4, 2010",Metro,Chicago,Illinois,Delta Spirit,,,,,,,,,,,,,,,,,,
FALSE,"Friday, December 29, 2010",Double Door,Chicago,Illinois,Songs from a Scene 10th Anniversary,Lucky Boy's Confusion,Penny and the Loafers,,,,,,,,,,,,,,,,
FALSE,"Friday, March 11, 2011",Riviera,Chicago,Illinois,Cold War Kids,,,,,,,,,,,,,,,,,,
FALSE,"Saturday, April 16, 2011",Empty Bottle,Chicago,Illinois,Royal Bangs,ANR,,,,,,,,,,,,,,,,,
FALSE,"Thursday, April 21, 2011",House of Blues,Chicago,Illinois,Counting Crows,,,,,,,,,,,,,,,,,,
FALSE,"Friday, April 22, 2011",UIC Pavilion,Chicago,Illinois,Arcade Fire,The National,,,,,,,,,,,,,,,,,
TRUE,"Monday, May 16, 2011",The Vic,Chicago,Illinois,Paul Simon,,,,,,,,,,,,,,,,,,
TRUE,"Tuesday, May 17, 2011",Chicago Theatre,Chicago,Illinois,Paul Simon,,,,,,,,,,,,,,,,,,
TRUE,"Wednesday, May 18, 2011",Riviera,Chicago,Illinois,The Cars,,,,,,,,,,,,,,,,,,
FALSE,"Friday, May 20, 2011",Metro,Chicago,Illinois,Death Cab for Cutie,The Lonely Forest,,,,,,,,,,,,,,,,,
FALSE,"Friday, June 3, 2011",Empty Bottle,Chicago,Illinois,Thao and Mirah,,,,,,,,,,,,,,,,,,
FALSE,"Sunday, June 5, 2011",Division Avenue & Damen,Chicago,Illinois,Do Division Street Festival,Royal Bangs,,,,,,,,,,,,,,,,,
